Cuisines,avg_rating,avg_votes,avg_price,count,cluster
Sri Lankan,3.60625,200.3125,2.9375,16,0
Steak,3.96,425.26060606060605,3.1515151515151514,165,0
Street Food,2.5747150997150996,108.64814814814815,1.3461538461538463,1404,1
Sunda,4.9,1838.0,3.0,6,3
Sushi,3.962121212121212,278.27272727272725,2.9797979797979797,198,0
Taiwanese,4.65,192.0,2.5,4,2
Tapas,4.128070175438597,401.50877192982455,3.087719298245614,57,0
Tea,3.132456140350877,376.94736842105266,1.736842105263158,114,2
Teriyaki,4.26,319.0,2.4,5,2
Tex-Mex,3.8508196721311476,889.7377049180328,3.1147540983606556,61,3
Thai,3.6977157360406094,314.76776649746193,2.8439086294416245,788,0
Tibetan,2.454385964912281,108.43859649122807,1.780701754385965,114,1
Turkish,3.4028571428571426,239.0857142857143,2.4571428571428573,35,2
Turkish Pizza,4.327777777777778,123.77777777777777,2.6666666666666665,18,2
Vegetarian,4.069565217391305,441.1304347826087,1.681159420289855,69,2
Vietnamese,3.8904255319148935,236.79787234042553,3.0,94,0
Western,4.192857142857142,571.9642857142857,3.107142857142857,28,3
World Cuisine,4.233333333333333,540.4444444444445,3.5555555555555554,9,0
nan,3.8666666666666663,302.8888888888889,1.6666666666666667,9,2
